Date,CustomerID,Age,AssetsUnderManagement,NetProfitMargin,CustomerChurn,CostPerAcquisition,InvestmentType,MonthlyInflow,MonthlyOutflow,CustomerFeedback
2021-09-28,29256bdc-ad88-4a3e-a021-fe053c231d78,58,1038094.1510669378,81.21876127495669,False,2492.3176930666114,Cryptocurrency,2952.508844807937,45751.14508404878,Get question personal professor.
2022-08-07,3af60340-4eff-4218-b8e4-c57faf3d724f,80,4774734.532897783,28.495752162855236,True,9490.734731517061,Mutual Funds,12340.048712917294,29563.922403816305,Service develop article dark detail will.
2022-09-11,d3f36fda-9a22-4039-a371-116e017bad77,37,245038.36986162202,85.87454105867147,True,9879.36990614394,Bonds,46860.18087527876,39591.833547113776,Work compare floor majority over.
2023-02-19,dd4db761-22b7-4ecb-900a-d00df8a7587c,76,795018.6011802909,51.9713702276458,False,4442.657727213578,Stocks,32642.73253510517,30968.891381223246,Wife simple else hard defense.
2023-04-02,1008b874-4638-4970-b749-122741cebb36,67,2838647.897161885,96.33278814912173,True,6159.7665357303895,Mutual Funds,21293.00220815635,32634.852865492354,Somebody kid yet either so mission many decide.
2022-07-20,1384af9f-4f67-4bc1-aa09-0fdb1c8c6b76,53,532869.3839229436,96.87242420440967,False,3731.9309655987718,Bonds,42202.16090798496,34210.29713764034,International into threat indeed involve husband.
2021-11-19,eb621fe6-9cb3-428a-ae2e-038348b8e0cc,73,2276481.652566982,51.3651760083643,True,2550.6639090424524,Mutual Funds,9707.89844719644,33610.789666520606,Card local movement base crime.
2022-08-19,a6ca812e-fe8c-43f1-bbb3-4667e59617b6,35,3545006.1645572986,88.14930291035027,True,112.2845071656648,Real Estate,46410.40625832507,28072.957372110206,Its soon right ready why simple score.
2021-10-18,41f5267f-49d5-42ff-ba00-b146e74bec16,35,2728742.635460063,31.015148718696494,False,4084.411597577385,Real Estate,6214.837584894193,23444.480079770536,Throughout white in total.
2022-12-11,cbb23f54-8e67-417f-8750-cf9bfb682ec7,29,360487.7317775035,20.991543785304113,False,3468.367469856197,Stocks,44197.71023926045,39698.18557962369,Side billion along soon may soon.
2023-07-14,77308634-9223-4379-ab9c-99906f750f8a,27,81375.93562843051,69.66956376934162,True,6224.393036160129,Stocks,14678.81185045549,33535.02960131681,Still store stage me.
2023-02-09,6b758387-65c3-4d30-b8d0-7458d096afe9,44,902013.6804390993,61.19374797260787,False,4353.049187557391,Real Estate,20461.674563838285,20282.78803785579,Half industry act head debate.
2021-09-19,7efd3ae5-df2f-4c62-9f36-6a128620f57f,78,716480.5297946478,31.41360296753678,True,794.7151502792276,Mutual Funds,43169.18445766931,40375.501429616575,Indeed medical way.
2022-02-28,b4994b3d-20bd-4d66-8a45-e4c14b0946b6,74,1962370.9723255334,68.12322991787262,False,7431.363204999338,Cryptocurrency,10279.548874754226,27725.159249499346,Sport care thought.
2023-01-28,09d45cdd-618b-4294-a818-8ce136efe97c,49,2167322.8760942467,77.98875009073146,True,5422.359047794904,Bonds,27229.074743840152,13152.436611784962,World he production fight many.
2022-08-28,2a033b70-a135-4762-8838-fa470c95e270,26,340629.63707976637,13.431627900952448,False,7777.057249260039,Cryptocurrency,41729.04881578264,2507.853430700844,Reflect perhaps no would director difficult.
2021-11-25,691b5e17-2ce4-475a-9380-15f30b826965,62,148591.0751661807,34.65018274099745,True,2441.558467558676,Cryptocurrency,17869.18626725063,32442.032656824,Or use attention plant.
2022-07-20,cf6dd6f2-0ae0-46c7-a838-c954922e4e00,45,554978.6663809257,5.625395918103527,False,7617.211469465028,Real Estate,23349.0883168997,46210.80123055628,Occur stage energy imagine deal.
2023-08-07,36b97db4-b5c5-4b3a-8490-891b57a7478d,80,586367.1343717893,20.907629543648753,True,4130.440727779682,Stocks,16618.96597734058,18465.62495341147,Necessary rock feeling among left rate.
2022-04-17,ad84334d-6c1a-48eb-a1fa-54140572e59a,56,4249407.835737623,74.43480758412974,False,5603.319363951993,Bonds,28050.953898699394,9164.994885780156,Product majority make computer heavy throw.
2022-01-04,e2d10088-5779-414e-a3cc-124be10220e6,25,4179687.934084198,44.10187196080562,False,9573.518806929364,Bonds,37868.08265960882,29293.092787037025,Every Mrs staff throw but.
2023-08-29,4bbd846c-bfea-4ddd-8659-27bf7e7aef90,28,2941229.1657768204,26.825965281190545,False,2033.922454706194,Cryptocurrency,47628.52862517245,34115.921108123504,Argue consumer suffer feel factor develop our culture.
2022-06-04,1121f13c-e027-4e56-9f9f-360a8e7abfab,80,4581218.732901235,1.0889925623029706,True,2033.0621840049578,Cryptocurrency,15320.680672228738,22712.868689091178,Half involve sort.
2023-01-13,0c3a5027-b13d-48ee-9532-b3ad96d37075,59,2727744.371198477,34.0377026863558,True,5406.203447304196,Mutual Funds,4228.152807122983,2880.1758915064565,Remain follow young attack civil short.
2022-04-03,93a41252-823e-4b09-a1aa-684a7c3c3825,42,3996474.3330865856,66.25853672390411,True,2462.1903712279486,Stocks,9078.64298690603,44703.40877131502,Behavior writer develop lay view.
2023-01-22,3b1c00b8-d180-4108-84cc-aa376c3fa387,57,2467433.9995844755,5.339004709653972,True,4132.695425841504,Mutual Funds,5995.919046039472,33235.23266807104,Including watch appear finish throw let remain.
2023-02-10,e19fd464-ffa1-425e-a9e6-a66467143e88,59,1458459.3978314274,36.057421948522915,False,6618.808864529606,Bonds,14941.430466844382,2551.8892522643855,Ball word song.
2023-04-06,ce2e7019-6954-4e2e-bf7c-bddf10517a49,39,676240.021633311,44.405810941563594,False,3036.884142640595,Real Estate,49028.71606322359,42531.1491400185,Skin message memory send energy.
2023-06-26,8cb6cf6c-e2b9-4740-8ddc-6a1bea3bd859,52,4548146.87799072,36.55402420252689,True,7718.344236512522,Stocks,16433.102735866592,44189.498744656434,Project rise opportunity across.
2023-02-13,6e09bc19-291e-4075-981a-09a12d04c399,38,1962786.780705215,69.8315315125695,False,2421.9351406893497,Real Estate,26378.354555674236,41300.99840113496,Difference mean senior five generation picture.
2022-02-16,c0988b04-24a9-4ec4-9a22-cfec5a83737f,42,1206343.0760572487,89.22481541313107,True,4811.376479251627,Cryptocurrency,4673.939027425928,36898.34064510106,Single food job upon for more.
2023-05-22,4dc1a458-528d-42b5-bdf8-7d619f59b52f,66,2567056.0093372483,88.62510998721062,False,3919.2743419514118,Mutual Funds,44632.75470056345,23145.911928169426,Also what while thus easy country.
2023-08-06,0d650f7f-633e-418a-80a0-f8558e8e9692,65,1742343.483907917,84.61882055443193,True,1951.3810321239296,Stocks,32088.328281846287,35629.51936320894,Few purpose film federal improve score see message.
2022-05-28,778e80f7-dd2f-4dcc-a90c-855431a72725,49,3656595.017084978,21.148789056704164,False,6136.879174622079,Stocks,5485.106847243893,30212.191475154596,Control in ability great indeed now.
2022-05-25,51ca15be-2545-4b79-8c7c-1ae6091432a5,52,1378687.9337513743,32.28764480741748,False,6600.174522396919,Cryptocurrency,41989.352711127714,47245.902044870134,Assume maybe science film.
2022-11-10,b71542ba-571e-4d9f-a521-ea379626475c,73,4064940.0354658877,12.23109611457911,True,349.24083100186294,Cryptocurrency,22624.92006383672,24581.40642110597,Growth treatment whose.
2021-12-06,cd65d7e7-e8ee-49a0-85c5-ede98b90f09e,64,1705522.183463078,92.07491170262385,False,5481.269783142515,Real Estate,6567.8883387094265,15850.434224101935,Commercial return other theory foreign.
2022-04-21,8512a345-7098-4538-bff5-b0eace7f8c13,55,1725218.3027237784,79.28141179262946,False,1322.6365486193376,Stocks,44378.699139218916,19416.808392245246,Mr middle enter.
2023-08-31,cbb7e72a-8fa3-4d87-927b-146b130294e7,48,2960647.3187971404,69.99861800760186,True,7282.833663162371,Mutual Funds,42317.59427362654,18909.75191863417,Strong protect life teacher.
2021-09-16,11008109-a23f-4e04-889a-d6125a000e83,55,1774973.4779657396,44.339720733768004,False,6669.834997795538,Cryptocurrency,40872.49879575937,13086.0301731381,Western challenge we much.
2023-02-24,d85d1fef-c962-4f41-8c8c-05455b3f772a,42,2147386.03327092,46.20642870509272,False,7410.0931419457565,Mutual Funds,22943.71371815453,38547.79620195624,Condition action arm win church deal art.
2022-05-09,8b6e0fa9-0fd3-4045-b826-fb9708238a62,24,111248.82779845722,27.721000765460914,True,4281.705446391418,Bonds,27222.727893178526,4878.277871445679,We respond and level none their.
2022-02-26,ebf3815e-76e5-4679-b8e5-9bfb012446b0,47,4207787.354067819,16.082485323427754,False,2156.91143439491,Mutual Funds,41981.384651431064,27262.40210774445,Yeah show significant year gas record.
2023-01-22,bfa40a57-61ad-4f76-9e7c-ca8fb4f159d6,36,4819781.378118364,91.54390319232688,True,2790.244440837674,Cryptocurrency,8227.412299618198,15331.533756421815,Generation whatever left project should international member.
2022-02-14,dcb39d54-9946-4425-a2af-d69e6e644660,31,1764580.659514106,66.29149279493545,True,918.1753115984199,Bonds,1736.419423684235,32543.228841255765,Final city his whose government after.
