Date,PropertyID,PropertyType,IsOccupied,MonthlyRevenue,RentalLength,MaintenanceCost,MaintenanceIssueLogged,CustomerSatisfaction
2022-12-02,ca96de89-56dc-451a-920e-a536341b51c6,Condo,True,1012.0228935994588,14,772.4968489994696,Quality move remain themselves billion factor carry.,17.451423269325183
2021-09-28,7f2b5551-097b-4f1c-a1c6-79aa58d7209e,Townhouse,False,0.0,0,796.2257121618824,Until yeah worry authority stay.,
2022-09-09,757d7acc-81e8-4876-bf7b-e2ea6c810767,Townhouse,False,0.0,0,258.06495896964464,Sport act myself.,
2021-10-19,567a3e11-735b-476b-81cb-7b9411e7d51a,Apartment,False,0.0,0,828.8611079758299,Treat side performance mouth.,
2022-08-29,ee175470-1ce1-44fb-92f5-ff3fa0b7c3ff,Apartment,True,2751.4355149746943,13,193.0951423910567,Throughout dog Republican start owner partner.,17.43165624765066
2022-06-11,e609ca6a-0fc4-42d5-96cd-62e662b446ca,Townhouse,True,8184.314654762126,6,318.06466219594483,Such land father field individual power.,10.425860666781217
2023-08-22,24186dc8-5515-4404-88c0-af3ffa3e461a,Apartment,True,9599.145160212332,12,550.7327664764766,Son beyond three expert seat series.,13.059945139396556
2023-05-11,ad42a832-8bc6-42f5-aa43-c6fe3b6038d2,Townhouse,True,3630.533850540968,5,975.7193925454116,Face nation science feeling address.,80.44698976447887
2022-03-27,c494b291-287d-4c15-bf58-637c1e93e851,House,True,7914.41330312413,2,839.2859752927825,Look enough tonight its consider without.,9.30320498594359
2023-08-28,d50aa7d2-0405-4dc9-8d94-519572530e5c,Apartment,True,3442.339644996143,3,388.8929017923731,Trade culture up late interesting keep eye.,3.1879880056180587
2022-09-04,fc9b17bd-145d-40fe-a610-3d58e0326536,House,True,4749.711490791413,21,349.00485303165965,Decision might that model.,86.76795746137536
2022-06-18,8d516b72-17a3-465d-bd0d-fa38830712e5,House,False,0.0,0,188.37558802848264,Chance sign group top.,
2022-06-04,a9a6b2ad-fa4f-479b-871b-ed33cb813f5f,Apartment,True,2807.6249395111536,7,756.515128422983,Their house particularly become subject American focus former.,52.242953711011594
2023-01-12,45b130e8-b4aa-478b-9a7b-328a24549452,Townhouse,True,4919.524596609611,15,236.6425724679681,Production firm everybody guy our or leg story.,39.07910413686705
2023-04-27,55ac5447-7093-48bc-bccd-6444a27dfa0c,House,True,5771.993032124153,6,536.8549796891239,Usually rest anything race.,62.548685929502376
2023-03-12,fc2fa024-b160-4b23-a141-580101433d62,House,True,4336.285462792519,2,482.6174855333438,Civil doctor hard four.,71.93806441969495
2022-11-03,6895ee90-3463-4cff-8468-0c1f500c2da8,Condo,True,5573.5678187176345,24,929.3771578443626,Camera imagine firm church remember politics according.,84.72646159831835
2022-05-15,00002d13-b13c-4b28-b3ce-9edac4236dce,Townhouse,False,0.0,0,520.4280204797694,Rich place maintain people eye green.,
2022-07-26,b68c63ec-f7d6-4be7-9813-8d16c128f521,Apartment,True,1961.681269759386,4,497.8322280276606,Job one bit player election can.,50.279132645506074
2022-10-23,34e2cf03-32c1-4f65-8978-0e4cf3cb7e68,Apartment,False,0.0,0,102.68245684330087,We see so something throw guy practice.,
2023-08-24,1c7e3f97-697b-4912-aa86-77c6d0055db9,Apartment,False,0.0,0,486.18270035991645,Institution level place by end book front.,
2021-11-11,3e438bde-2d61-4fe5-a78d-7305358aa738,Apartment,False,0.0,0,311.04345398194346,Republican agent seven central.,
2022-08-30,b778f661-efe4-4a2a-9413-5c482a16f82f,Condo,True,9233.231674632892,19,129.2906714256852,Former pick report eight practice manager.,75.43922613810035
2021-11-23,60d3e035-9618-4c9f-912d-2ab25b5185d1,Condo,False,0.0,0,309.29334613524395,Man term likely top.,
2022-03-05,b0deb3b4-7f08-4bf4-b383-d9c941ccef9f,Townhouse,True,3276.2009556147273,13,845.5821907684102,Miss day bar call city ability forward.,22.115146412042176
2021-11-08,356c2040-2a69-413c-bb34-14ade429623f,Condo,True,5327.073656002667,8,864.2989356199349,Also low itself seven shake gas.,51.884711248933435
2021-12-16,d2cb9192-daaa-46ba-b762-7e3cef358d80,Townhouse,False,0.0,0,548.6569248135602,Provide western will.,
2022-08-07,9a9f2512-7588-4561-86b3-3ab0e61a59f7,House,True,6510.196519311055,6,663.4650117836584,Field work simple ball mean rather.,97.1412634250852
2022-10-22,ed8b9eca-611b-4ff7-9ff8-ad7b747d8140,Condo,False,0.0,0,672.2194443700478,Continue form middle already likely scene.,
2023-04-28,43ed2e25-c042-4117-9c26-4d7b125cb803,Apartment,True,5468.853211399784,15,887.5204720264234,Suddenly mouth image air.,52.53305050261151
2023-01-12,94ae7f48-f701-42d3-958b-14987f85d244,Apartment,True,4961.5837444173485,14,858.7840794117398,Treat yet last run degree many.,36.510748618977665
2023-09-04,90a04124-6650-417b-9bb1-f5d5bf76a0f6,House,True,8596.92162919326,6,874.9533605756307,You away attorney can.,64.09323790570564
2022-11-23,a4dfce31-6c2c-484a-8f8e-f3f57754df93,House,False,0.0,0,687.0656663300429,Partner sense free pay church.,
2021-12-07,dd889c10-27f7-4bcc-a556-bfa7f6472427,Condo,False,0.0,0,267.4247074185271,Especially full sit.,
2023-02-02,3740ef74-4aea-4ac1-bb8a-a7a1f4a230dc,Townhouse,False,0.0,0,175.70151630966845,Pattern consumer score each page with conference.,
2023-08-27,699b6fd0-702b-4862-94cf-4307c759fef8,Condo,False,0.0,0,112.9413963004396,Mission free spend book read house experience.,
2022-09-15,f3517f94-cb29-475c-a75d-556a25fa8943,House,False,0.0,0,872.4378404207273,Woman expert hour kid.,
2022-12-05,e6e83be5-b382-456b-9647-257b38c0dde7,Apartment,True,6654.020072031264,16,716.7270489268404,Professional crime tax explain.,72.43297223883958
2022-04-04,ace81e25-60e3-4d26-9f78-5da41472b2fe,Apartment,False,0.0,0,745.5512216252074,Particularly strong measure away positive.,
2022-07-20,33d1a6d1-f17c-4675-ae8e-c7bbb0b73170,Townhouse,True,5016.377596744784,5,887.9488053810934,Yet happy oil spend suggest.,69.7985923273015
2021-11-19,f71eca43-8555-4713-80bd-26af9dc6ff0c,House,False,0.0,0,573.2814369277746,Process reflect raise list shake.,
2021-12-27,d74e460d-dd2d-4c1b-8657-0a594b43fba1,Townhouse,False,0.0,0,881.1572404588395,Threat develop one various surface side nothing.,
2023-05-10,8ffcb63a-ea33-48d4-aa76-d802f184b0d9,Townhouse,True,9261.899864728755,21,831.9231717884844,Feeling game both commercial.,23.924075276797062
2022-01-30,71a287d3-8ae9-4cfd-839a-675978f76740,House,False,0.0,0,697.6522558736416,Rate free product gas under that away.,
2021-10-29,34765452-722c-4a56-ab3d-17f425463e42,Condo,False,0.0,0,552.8139499029901,From nor market than.,
2023-05-10,3dcb6e69-7f31-4a47-88a2-de14775b3b36,Condo,True,4261.7021606975595,15,535.9369756804545,Some company determine trade edge.,89.81707532200858
2023-06-20,a0ba77c3-6343-4793-9cd2-9a56a3d4d6a5,Apartment,False,0.0,0,950.2834940131823,Throughout town send it least easy include.,
2023-06-30,22076a26-11b4-4a58-9713-3598e5467cdd,House,False,0.0,0,613.320140224936,From occur any produce source provide while.,
2022-05-13,251160dd-b472-4b26-9fc8-c84b9e494998,Condo,False,0.0,0,150.05105606541977,Suddenly heart reason truth either foot short.,
2022-05-26,22784a16-6f53-40bf-9abe-ee068ea5e762,House,True,7033.014144105733,3,819.400083213893,Us budget road site range while pick trip.,55.944087658907584
